hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRH2QNQNN0FEDZ10EG7Y5KVC,01KRH1Z1C1WG2QAPJ3Q1G85W38,48,2026-05-13T16:29:18.965113+00:00,2026-05-13T16:29:25.738102+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:48,AsQs,4d7c,,,,200000,hermes,fold,
01KRH2R1CCYNS1PG2XGN3GXC6N,01KRH1Z1C1WG2QAPJ3Q1G85W38,49,2026-05-13T16:29:30.892833+00:00,2026-05-13T16:30:33.073502+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:49,8c8s,4s3s,KdThJd,Qd,2d,1200000,hermes,showdown,
01KRH2T0TH56PRP45VZ34MDKMF,01KRH1Z1C1WG2QAPJ3Q1G85W38,50,2026-05-13T16:30:35.857930+00:00,2026-05-13T16:30:52.947818+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:50,9c4h,5s4c,,,,100000,openclaw,fold,
01KRH2TMAGFWHKFGV2WQNHVW5G,01KRH1Z1C1WG2QAPJ3Q1G85W38,51,2026-05-13T16:30:55.824994+00:00,2026-05-13T16:31:08.770877+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:51,5s2h,Qh6s,,,,200000,openclaw,fold,
01KRH2V3TX2R67Q9GVDS1Y2MHC,01KRH1Z1C1WG2QAPJ3Q1G85W38,52,2026-05-13T16:31:11.709405+00:00,2026-05-13T16:31:15.927974+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:52,9h4d,6c7h,,,,100000,openclaw,fold,
01KRH2VAPW6VJM3Z03NGWYVN11,01KRH1Z1C1WG2QAPJ3Q1G85W38,53,2026-05-13T16:31:18.748957+00:00,2026-05-13T16:31:58.697811+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:53,3sQh,2s2d,3hJh4c,Qs,,200000,hermes,fold,
01KRH2WMJD4KJ4TYRECVZB85JT,01KRH1Z1C1WG2QAPJ3Q1G85W38,54,2026-05-13T16:32:01.613264+00:00,2026-05-13T16:32:43.746078+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:54,3dAc,8sTd,TcAh5d,8c,Jc,1900000,openclaw,showdown,
01KRH2Y0MBGF9DFYYT97V1BTZA,01KRH1Z1C1WG2QAPJ3Q1G85W38,55,2026-05-13T16:32:46.731162+00:00,2026-05-13T16:33:46.993064+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:55,4hKh,9sKc,TsJsJd,7c,8s,400000,openclaw,fold,
01KRH300J55GNPQFGXPB643547,01KRH1Z1C1WG2QAPJ3Q1G85W38,56,2026-05-13T16:33:52.197935+00:00,2026-05-13T16:34:06.631856+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:56,5c5s,QcJd,6cQh2s,,,400000,openclaw,fold,
01KRH30HCBG91QWTR9106ZKTA7,01KRH1Z1C1WG2QAPJ3Q1G85W38,57,2026-05-13T16:34:09.419320+00:00,2026-05-13T16:35:08.154669+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:57,TcTd,Qc7s,6h6cAh,6s,Ac,0,split,showdown,
